Count,Time,Direction,Filename
1,1595327172,Out,1595327172_Out_1.jpg
2,1595327180,Out,1595327180_Out_2.jpg
3,1595327317,Out,1595327317_Out_3.jpg
4,1595327524,In,1595327524_In_4.jpg
5,1595327544,Out,1595327544_Out_5.jpg
6,1595327677,Out,1595327677_Out_6.jpg
